Block	Pair_type	Feedback_type	Side	RT	ACC
1	 1	 1	 2	1381 	1	 
1	 2	 0	 1	830 	1	 
1	 2	 1	 2	1249 	1	 
1	 1	 0	 1	1155 	1	 
1	 3	 1	 1	1589 	0	 
1	 2	 1	 1	743 	1	 
1	 2	 0	 2	1602 	1	 
1	 3	 0	 2	0 	missed	 
1	 1	 1	 2	0 	missed	 
1	 1	 1	 2	0 	missed	 
1	 3	 1	 1	771 	0	 
1	 3	 1	 2	840 	0	 
1	 3	 1	 1	803 	0	 
1	 1	 0	 1	737 	1	 
1	 1	 1	 2	931 	0	 
1	 1	 1	 1	1012 	1	 
1	 3	 0	 2	970 	0	 
1	 3	 0	 2	616 	0	 
1	 2	 1	 2	1009 	0	 
1	 1	 1	 1	947 	1	 
1	 3	 0	 1	1269 	0	 
1	 1	 0	 2	1263 	0	 
1	 1	 0	 2	1008 	0	 
1	 3	 1	 1	1091 	1	 
1	 2	 1	 2	777 	0	 
1	 1	 1	 1	907 	1	 
1	 2	 1	 1	921 	1	 
1	 3	 0	 2	959 	0	 
1	 3	 1	 2	729 	1	 
1	 3	 0	 1	979 	0	 
1	 1	 1	 1	896 	1	 
1	 1	 1	 1	586 	1	 
1	 2	 1	 2	1112 	0	 
1	 3	 0	 1	1086 	1	 
1	 2	 1	 1	1211 	0	 
1	 1	 1	 2	1065 	1	 
1	 2	 0	 2	767 	1	 
1	 3	 1	 2	1148 	0	 
1	 2	 1	 1	726 	1	 
1	 3	 1	 2	1080 	0	 
1	 1	 1	 2	1066 	1	 
1	 1	 1	 1	903 	1	 
1	 2	 0	 1	813 	1	 
1	 2	 1	 2	1091 	0	 
1	 3	 1	 2	1185 	0	 
1	 2	 0	 2	519 	1	 
1	 2	 1	 2	865 	1	 
1	 3	 1	 1	1147 	0	 
1	 3	 1	 1	864 	1	 
1	 1	 1	 1	894 	1	 
1	 2	 1	 1	1452 	1	 
1	 3	 1	 2	1374 	1	 
1	 1	 1	 2	1000 	1	 
1	 2	 1	 2	882 	1	 
1	 2	 0	 1	643 	1	 
1	 1	 1	 2	729 	1	 
1	 2	 1	 1	871 	0	 
1	 3	 0	 1	1029 	0	 
1	 2	 1	 1	830 	1	 
1	 1	 1	 1	756 	0	 
2	 3	 1	 2	1142 	1	 
2	 1	 1	 2	1312 	1	 
2	 1	 1	 1	694 	1	 
2	 2	 1	 1	772 	1	 
2	 1	 0	 2	997 	1	 
2	 3	 0	 2	963 	0	 
2	 3	 0	 1	1113 	0	 
2	 2	 1	 2	835 	1	 
2	 3	 0	 2	1172 	0	 
2	 1	 1	 2	986 	1	 
2	 3	 1	 1	888 	0	 
2	 3	 1	 2	1210 	1	 
2	 3	 1	 2	855 	0	 
2	 2	 1	 1	733 	1	 
2	 1	 1	 2	971 	1	 
2	 2	 1	 2	1677 	1	 
2	 1	 0	 2	891 	1	 
2	 2	 1	 1	693 	1	 
2	 2	 1	 2	687 	1	 
2	 2	 1	 1	1156 	0	 
2	 2	 1	 2	635 	1	 
2	 3	 0	 2	1412 	0	 
2	 3	 0	 1	718 	0	 
2	 2	 0	 2	1036 	1	 
2	 1	 0	 1	686 	1	 
2	 1	 1	 2	872 	1	 
2	 1	 1	 1	605 	1	 
2	 1	 1	 2	887 	1	 
2	 3	 1	 2	1141 	0	 
2	 1	 1	 2	627 	1	 
2	 1	 1	 1	957 	1	 
2	 2	 0	 1	1223 	1	 
2	 3	 1	 1	1326 	0	 
2	 2	 0	 2	1091 	1	 
2	 2	 1	 1	1517 	1	 
2	 1	 1	 1	827 	1	 
2	 2	 1	 1	1233 	1	 
2	 3	 1	 2	1098 	1	 
2	 2	 0	 2	1212 	1	 
