Block	Pair_type	Feedback_type	Side	RT	ACC
1	 2	 1	 1	1067 	1	 
1	 2	 1	 2	956 	1	 
1	 3	 1	 1	886 	0	 
1	 3	 1	 1	1225 	1	 
1	 3	 1	 1	1027 	1	 
1	 2	 0	 1	1218 	1	 
1	 2	 1	 2	1275 	1	 
1	 2	 1	 1	1266 	1	 
1	 1	 1	 2	1260 	0	 
1	 1	 1	 2	1157 	1	 
1	 1	 0	 1	896 	1	 
1	 3	 1	 2	1497 	0	 
1	 3	 1	 2	1023 	1	 
1	 1	 1	 2	1469 	1	 
1	 2	 1	 2	1527 	1	 
1	 1	 1	 2	1245 	1	 
1	 3	 1	 2	1206 	0	 
1	 3	 0	 2	872 	1	 
1	 1	 1	 1	1086 	1	 
1	 3	 1	 2	1199 	1	 
1	 3	 1	 1	1265 	1	 
1	 1	 1	 1	1207 	0	 
1	 2	 0	 1	913 	1	 
1	 1	 1	 1	1399 	0	 
1	 1	 0	 1	0 	missed	 
1	 2	 0	 2	915 	1	 
1	 2	 1	 2	901 	1	 
1	 2	 1	 1	915 	1	 
1	 2	 1	 2	637 	1	 
1	 2	 1	 2	590 	1	 
1	 1	 1	 2	1413 	0	 
1	 1	 1	 1	1007 	0	 
1	 3	 1	 2	953 	1	 
1	 1	 1	 1	802 	1	 
1	 1	 1	 2	1020 	1	 
1	 3	 0	 1	946 	1	 
1	 2	 0	 2	904 	1	 
1	 3	 0	 1	1517 	1	 
1	 1	 1	 1	1035 	1	 
1	 3	 0	 1	1029 	0	 
1	 2	 1	 1	831 	1	 
1	 2	 1	 1	853 	1	 
1	 1	 0	 2	1386 	0	 
1	 2	 0	 1	884 	1	 
1	 1	 1	 1	942 	1	 
1	 3	 0	 2	0 	missed	 
1	 2	 1	 2	663 	1	 
1	 2	 1	 1	572 	1	 
1	 1	 1	 2	694 	1	 
1	 3	 1	 1	880 	1	 
1	 2	 0	 2	781 	1	 
1	 1	 1	 1	931 	0	 
1	 3	 0	 2	849 	1	 
1	 1	 0	 2	1211 	1	 
1	 3	 1	 2	1000 	1	 
1	 2	 1	 1	690 	1	 
1	 1	 1	 2	977 	1	 
1	 3	 1	 1	1470 	1	 
1	 3	 0	 1	936 	0	 
1	 3	 0	 2	1354 	1	 
2	 1	 0	 1	1636 	1	 
2	 1	 1	 1	893 	1	 
2	 2	 1	 2	739 	1	 
2	 3	 1	 2	1025 	1	 
2	 2	 1	 1	831 	1	 
2	 3	 0	 1	881 	0	 
2	 2	 0	 1	903 	1	 
2	 3	 1	 1	969 	1	 
2	 1	 1	 1	818 	0	 
2	 2	 1	 1	796 	1	 
2	 2	 1	 2	618 	1	 
2	 3	 0	 2	824 	1	 
2	 2	 1	 2	842 	1	 
2	 1	 1	 2	824 	1	 
2	 3	 0	 2	0 	missed	 
2	 1	 1	 1	917 	1	 
2	 1	 1	 1	683 	1	 
2	 2	 1	 2	561 	1	 
2	 3	 1	 2	878 	0	 
2	 2	 1	 2	728 	1	 
2	 3	 0	 1	714 	0	 
2	 1	 1	 2	772 	1	 
2	 3	 1	 2	1093 	1	 
2	 3	 1	 2	935 	1	 
2	 2	 1	 2	617 	1	 
2	 2	 0	 1	831 	1	 
2	 2	 0	 2	644 	1	 
2	 2	 1	 2	574 	1	 
2	 1	 0	 2	908 	1	 
2	 3	 1	 1	995 	1	 
2	 1	 1	 2	652 	1	 
2	 3	 0	 2	670 	1	 
2	 1	 1	 2	680 	1	 
2	 1	 1	 1	862 	1	 
2	 1	 1	 1	988 	1	 
2	 3	 1	 1	753 	0	 
2	 3	 0	 2	879 	1	 
2	 2	 0	 2	585 	1	 
2	 1	 1	 1	842 	0	 
2	 2	 1	 1	740 	1	 
2	 2	 1	 1	578 	1	 
2	 1	 1	 2	944 	1	 
2	 3	 1	 2	1082 	1	 
2	 1	 1	 2	847 	1	 
2	 3	 1	 1	1049 	1	 
2	 2	 0	 2	551 	1	 
2	 2	 1	 1	745 	1	 
2	 2	 1	 1	1242 	1	 
2	 3	 0	 1	844 	1	 
2	 2	 0	 1	710 	1	 
2	 1	 1	 2	1023 	1	 
2	 3	 1	 1	806 	1	 
2	 3	 0	 1	628 	1	 
2	 1	 1	 2	1002 	1	 
2	 2	 1	 1	576 	1	 
2	 1	 0	 2	1009 	0	 
2	 1	 1	 1	807 	1	 
2	 1	 0	 1	514 	1	 
2	 3	 1	 1	859 	0	 
2	 3	 1	 2	825 	1	 
3	 3	 1	 2	844 	1	 
3	 2	 1	 2	793 	1	 
3	 3	 0	 2	619 	1	 
3	 1	 1	 1	793 	1	 
3	 3	 0	 2	794 	1	 
3	 3	 1	 2	996 	1	 
3	 1	 0	 1	666 	1	 
3	 2	 1	 1	640 	1	 
3	 2	 1	 1	562 	1	 
3	 3	 1	 2	860 	1	 
3	 3	 1	 1	762 	1	 
3	 2	 0	 2	547 	1	 
3	 1	 1	 1	705 	1	 
3	 2	 1	 2	815 	1	 
3	 1	 1	 2	933 	1	 
3	 2	 0	 1	874 	1	 
3	 3	 1	 2	901 	1	 
3	 1	 0	 2	879 	1	 
3	 2	 1	 1	948 	1	 
3	 3	 0	 1	798 	1	 
3	 3	 0	 1	908 	1	 
3	 1	 0	 1	726 	1	 
3	 1	 0	 2	884 	1	 
3	 1	 1	 1	646 	1	 
3	 2	 1	 2	632 	1	 
3	 3	 1	 2	1237 	1	 
3	 3	 0	 1	831 	1	 
3	 2	 0	 2	533 	1	 
3	 1	 1	 1	646 	1	 
3	 2	 1	 1	684 	1	 
3	 3	 1	 1	702 	1	 
3	 1	 1	 1	660 	1	 
3	 2	 0	 1	537 	1	 
3	 1	 1	 2	799 	1	 
3	 2	 1	 2	589 	1	 
3	 1	 1	 2	939 	1	 
3	 3	 0	 2	1004 	1	 
3	 1	 1	 2	798 	1	 
3	 1	 1	 2	904 	1	 
