Side	RT	ACC	Type
1	1305 	0	11	 
1	1625 	1	13	 
0	0 	missed	7	 
0	1088 	1	7	 
1	896 	1	1	 
1	984 	1	8	 
0	1157 	1	6	 
0	1034 	1	9	 
1	733 	1	8	 
0	723 	1	11	 
0	898 	1	9	 
0	554 	1	4	 
0	520 	1	3	 
1	919 	1	15	 
1	550 	1	1	 
1	540 	1	2	 
1	730 	1	4	 
1	816 	1	2	 
0	539 	1	2	 
0	538 	1	5	 
1	792 	1	7	 
0	900 	1	15	 
1	964 	1	7	 
0	745 	1	12	 
0	1095 	1	1	 
1	551 	1	2	 
1	468 	1	1	 
1	1213 	0	14	 
1	920 	1	7	 
1	664 	1	8	 
1	897 	1	15	 
0	552 	1	5	 
1	790 	0	15	 
1	858 	0	14	 
0	572 	1	10	 
1	1009 	1	12	 
1	924 	1	14	 
0	907 	1	15	 
0	683 	1	10	 
0	555 	1	8	 
1	585 	1	6	 
0	781 	1	7	 
0	642 	1	8	 
0	572 	1	7	 
1	593 	0	10	 
1	661 	1	6	 
1	598 	1	10	 
0	538 	1	11	 
1	776 	0	14	 
1	644 	1	10	 
0	646 	1	3	 
1	512 	1	5	 
1	879 	0	15	 
0	511 	1	5	 
0	694 	1	14	 
0	566 	1	4	 
0	523 	1	4	 
1	586 	1	6	 
1	534 	1	3	 
1	636 	1	8	 
0	615 	1	9	 
1	650 	1	7	 
0	611 	1	6	 
0	854 	1	13	 
0	528 	1	2	 
0	1262 	1	14	 
0	583 	1	8	 
0	476 	1	1	 
1	492 	1	4	 
0	516 	1	6	 
0	483 	1	1	 
0	652 	1	7	 
0	605 	1	7	 
0	577 	1	10	 
0	901 	1	11	 
0	501 	1	10	 
1	1013 	0	2	 
0	904 	1	13	 
1	728 	1	12	 
1	654 	1	4	 
1	704 	1	15	 
1	583 	1	10	 
1	476 	1	3	 
0	413 	1	5	 
0	424 	1	4	 
0	435 	1	1	 
0	477 	1	5	 
0	621 	1	13	 
0	552 	1	11	 
1	1158 	0	13	 
1	604 	1	3	 
1	863 	1	9	 
1	592 	1	9	 
1	533 	1	1	 
1	547 	1	9	 
1	641 	1	13	 
1	499 	1	1	 
0	627 	1	15	 
0	429 	1	3	 
1	527 	1	1	 
1	438 	0	11	 
1	416 	1	6	 
1	499 	1	12	 
1	778 	0	9	 
0	583 	1	3	 
0	443 	1	3	 
1	581 	1	4	 
1	481 	1	2	 
1	473 	1	5	 
0	842 	1	2	 
1	605 	1	8	 
0	520 	1	11	 
1	783 	1	7	 
1	732 	1	13	 
1	762 	1	11	 
0	575 	0	13	 
0	652 	0	2	 
1	910 	1	14	 
0	693 	1	15	 
1	661 	1	5	 
0	734 	1	14	 
1	548 	1	6	 
0	466 	1	2	 
1	571 	1	10	 
1	704 	1	14	 
1	583 	1	10	 
0	572 	1	6	 
0	569 	1	5	 
1	502 	1	5	 
0	509 	1	10	 
0	804 	1	15	 
1	712 	1	9	 
1	719 	1	11	 
0	582 	1	6	 
0	970 	1	14	 
0	560 	1	11	 
0	645 	1	8	 
1	694 	1	13	 
1	590 	1	12	 
0	522 	1	6	 
1	625 	1	6	 
1	508 	1	3	 
1	628 	1	12	 
0	574 	1	15	 
0	611 	1	2	 
1	622 	1	4	 
0	497 	1	12	 
0	561 	1	13	 
1	686 	1	11	 
0	542 	1	4	 
0	564 	1	12	 
0	609 	1	12	 
1	508 	1	5	 
1	548 	1	4	 
1	586 	1	12	 
0	558 	1	9	 
0	932 	1	14	 
0	554 	1	1	 
1	936 	1	8	 
0	726 	1	12	 
0	581 	1	8	 
1	489 	0	2	 
1	497 	1	5	 
1	561 	1	13	 
0	502 	1	1	 
0	485 	1	4	 
1	566 	1	11	 
0	555 	1	10	 
0	456 	1	3	 
0	602 	1	13	 
0	566 	1	14	 
1	587 	1	3	 
1	767 	1	15	 
0	540 	1	8	 
1	514 	1	3	 
1	713 	1	9	 
0	552 	1	9	 
0	782 	1	12	 
1	514 	1	7	 
0	537 	1	9	 
