Side	RT	ACC	Type
1	768 	1	1	 
0	781 	1	13	 
1	817 	1	11	 
1	1020 	0	14	 
1	1295 	0	7	 
1	991 	1	1	 
1	915 	1	12	 
1	906 	1	2	 
0	1002 	1	12	 
1	1125 	1	12	 
1	1028 	1	13	 
1	790 	1	2	 
1	922 	1	15	 
0	881 	1	5	 
1	1233 	0	9	 
0	932 	1	2	 
1	1218 	1	8	 
0	1037 	1	14	 
0	855 	1	12	 
1	753 	1	3	 
1	1126 	0	8	 
0	1148 	1	13	 
0	850 	1	4	 
1	1028 	1	1	 
1	1558 	1	11	 
0	0 	missed	8	 
0	712 	1	6	 
1	870 	1	5	 
0	1095 	1	13	 
0	1023 	1	6	 
0	1026 	1	15	 
0	1068 	1	12	 
1	1013 	1	13	 
0	960 	1	14	 
1	1021 	0	7	 
1	1120 	0	14	 
0	1071 	1	12	 
1	1064 	1	6	 
1	833 	1	4	 
1	1011 	0	7	 
0	966 	1	4	 
0	1115 	1	10	 
1	1186 	1	2	 
1	1230 	1	9	 
0	809 	1	11	 
0	1028 	1	6	 
1	1006 	0	15	 
0	1018 	1	6	 
0	1165 	1	9	 
0	1266 	0	9	 
0	1011 	1	15	 
0	814 	1	10	 
0	1209 	1	15	 
1	1284 	1	7	 
1	997 	1	11	 
0	864 	0	9	 
0	865 	1	13	 
1	834 	1	4	 
0	916 	0	7	 
0	819 	1	8	 
0	654 	1	2	 
0	1024 	1	14	 
1	1131 	0	14	 
1	985 	1	11	 
1	1093 	1	8	 
1	813 	1	3	 
0	1208 	1	1	 
1	963 	1	11	 
1	824 	1	12	 
1	1011 	1	15	 
1	766 	1	4	 
0	1091 	1	13	 
0	875 	1	3	 
1	860 	1	1	 
0	781 	1	1	 
0	1265 	1	2	 
0	714 	1	4	 
0	1113 	0	9	 
1	848 	1	5	 
1	1105 	1	13	 
0	1041 	0	7	 
1	939 	0	7	 
1	922 	1	10	 
1	761 	1	5	 
0	757 	1	15	 
0	1043 	0	14	 
0	933 	1	3	 
1	1299 	1	13	 
0	1442 	0	7	 
1	964 	0	11	 
0	777 	1	11	 
0	805 	1	5	 
0	921 	1	15	 
1	952 	1	5	 
1	973 	1	10	 
1	762 	1	3	 
1	983 	1	12	 
0	795 	1	10	 
0	943 	0	9	 
1	1269 	1	12	 
0	942 	1	8	 
1	859 	1	6	 
0	716 	1	4	 
1	851 	1	1	 
1	796 	1	6	 
1	792 	0	9	 
0	700 	1	3	 
1	715 	1	4	 
1	858 	1	10	 
1	819 	1	15	 
0	1014 	1	8	 
0	857 	1	11	 
0	779 	1	11	 
1	759 	1	3	 
0	725 	1	3	 
1	651 	1	3	 
0	765 	1	5	 
0	770 	1	7	 
0	727 	1	12	 
1	701 	1	5	 
0	612 	1	1	 
1	831 	1	12	 
0	809 	1	2	 
1	676 	1	10	 
1	692 	1	4	 
0	885 	1	13	 
0	765 	1	15	 
0	666 	1	12	 
1	874 	1	10	 
1	763 	1	10	 
1	992 	0	14	 
0	892 	1	1	 
0	836 	1	3	 
0	966 	0	8	 
1	1139 	0	7	 
1	913 	1	1	 
0	832 	1	8	 
0	867 	1	1	 
0	739 	1	14	 
0	594 	1	2	 
1	821 	1	8	 
1	1200 	1	15	 
1	812 	1	2	 
1	678 	1	6	 
0	783 	1	1	 
0	675 	1	3	 
0	644 	1	5	 
1	917 	0	9	 
0	884 	1	4	 
1	780 	1	13	 
1	888 	1	3	 
1	713 	1	8	 
0	1024 	0	6	 
1	763 	1	15	 
0	959 	0	7	 
0	772 	1	11	 
1	1161 	0	14	 
1	662 	1	4	 
0	991 	1	10	 
1	819 	1	5	 
1	750 	1	8	 
1	812 	0	9	 
0	959 	1	10	 
1	812 	0	2	 
0	815 	1	4	 
1	794 	0	9	 
0	781 	1	6	 
1	818 	1	2	 
1	676 	1	13	 
1	637 	1	6	 
0	631 	1	5	 
0	665 	1	10	 
1	658 	1	6	 
0	675 	1	11	 
0	636 	1	2	 
1	758 	0	14	 
0	748 	0	14	 
0	1089 	0	9	 
0	1130 	0	7	 
0	968 	1	5	 
